ID, Component
1,channels
1.1,self-service
1.1.1,mobile-app
1.1.2,web-portal
1.2,assisted
1.2.1,agent-desktop
1.2.2,broker-portal
1.2.3,postroom
1.2.4,branch-teller
1.2.5,contact-centre
1.2.5.1,IVR
1.3,open-banking-PSD2
1.4,intermediary-interface
2,onboarding-origination
2.1,customer-onboarding
2.2,product-origination
2.2.1,product-catalogue
2.2.1.1,lending
2.2.1.2,deposits
3,customer
3.1,CIF
3.2,CRM
3.2.1,customer-servicing
3.2.2,account-servicing
3.2.2.1,product-catalogue
3.2.2.1.1,lending
3.2.2.1.2,deposits
4,product-core
4.1,product-catalogue
4.1.1,lending
4.1.1.1,personal-lending
4.1.1.2,SME-lending
4.1.1.3,purchase-finance
4.1.1.4,commercial-lending
4.1.1.5,retail-mortgages
4.1.2,deposits
4.1.2.1,personal-deposits
4.1.2.2,business-deposits
4.1.2.3,stored-value-account
4.1.2.4,daily-banking-account
4.1.2.5,business-banking-account
4.2,product-factory
4.3,system-of-record
4.3.1,customer-level-accounts
4.3.2,accounting-GL
4.4,account-servicing-support
4.5,product-statements-reports
5,payments
5.1,domestic-clearing
5.1.1,UK
5.1.1.1,FPS
5.1.1.1.1,credit-transfer
5.1.1.1.1.1,outgoing
5.1.1.1.1.2,incoming
5.1.2,BACS
5.1.2.1,direct-debit
5.1.2.1.1,mandate-setup
5.1.2.1.1.1,outgoing
5.1.2.1.1.2,incoming
5.1.2.1.1.3,collection
5.1.2.1.1.3.1,outgoing
5.1.2.1.1.3.2,incoming
5.1.2.2,ISA-transfers
5.1.2.2.1,outgoing
5.1.2.2.2,incoming
5.1.2.3,CASS
5.1.2.4,credit-transfer
5.1.2.4.1,incoming
5.1.2.4.2,outgoing
5.1.3,CHAPS
5.1.3.1,credit-transfer
5.1.3.1.1,outgoing
5.1.3.1.2,incoming
5.1.3.2,ICS
5.1.3.2.1,cheque-deposit
5.1.3.2.1.1,outgoing
5.1.3.2.1.2,incoming
5.2,CASH
5.3,cards
5.3.1,acquiring
5.3.2,issuing
5.4,openbanking-PSD2
5.4.1,payments
6,payment-ordering
6.1,future-dated-payments
6.1.1,standing-orders
6.1.2,oneoff-forward-dated-payment
6.2,payment-policy-authorisation-rules
6.2.1,bank-side-rules
6.2.2,customer-side-rules
6.3,payee-beneficiary-management
6.4,payment-limits
6.5,fx-quotes
6.6,payment-restrictions
6.6.1,locked-blocked-flagged
6.6.1.1,customer
6.6.1.2,account
6.6.2,product-type
6.6.3,notice-accounts
6.7,notice-account
6.7.1,notice-period-policing
6.8,cash-management
6.8.1,sweeping
6.9,auto-detect-internal-transfers
6.10,confirmation-of-payee
6.11,batch-payments
6.12,direct-debit-collection-retries
7,reg-reporting
7.1,general-reg-reports
7.1.1,UK
7.2,product-catalogue
7.2.1,lending
7.2.1.1,personal-lending
7.2.1.1.1,UK
7.2.1.1.1.1,CCA
7.2.1.2,SME-lending
7.2.1.2.1,UK
7.2.1.2.1.1,unregulated
7.2.1.3,purchase-finance
7.2.1.3.1,UK
7.2.1.3.1.1,CCA
7.2.1.4,commercial-lending
7.2.1.4.1,UK
7.2.1.4.1.1,unregulated
7.2.1.5,retail-mortgages
7.2.1.5.1,UK
7.2.1.5.1.1,MCOB
7.2.2,deposits
7.2.2.1,personal-deposits
7.2.2.1.1,UK
7.2.2.1.1.1,TBD
7.2.2.2,business-deposits
7.2.2.2.1,UK
7.2.2.2.1.1,TBD
7.2.2.3,stored-value-account
7.2.2.3.1,UK
7.2.2.3.1.1,TBD
7.2.2.4,daily-banking-account
7.2.2.4.1,UK
7.2.2.4.1.1,TBD
7.2.2.5,business-banking-account
7.2.2.5.1,UK
7.2.2.5.1.1,TBD
8,document-management
8.1,dms-archive
8.2,dms-generate
8.3,dms-scam
8.4,dms-esignature
9,financial-crime
9.1,customer
9.2,peps-sanctions
9.3,payments
9.3.1,peps-sanctions
9.3.2,transaction-monitoring
9.3.3,card-fraud
9.3.4,cheque-fraud
10,accounting-GL
11,treasury-ALM
12,data-lake-DWH
12.1,DWH-datastore
12.2,MI-reports
12.3,business-intelligence-insights
12.4,marketing-campaigns
13,asset-management
13.1,asset-registry
13.2,full-asset-management
14,collections-recovery
15,single-sign-on-IAM
16,data-reconciliation
17,fulfilment-services
17.1,welcome-pack
17.2,cheque-book
17.3,passbook
17.4,statements
17.5,physical-cards
18,system-monitoring-SIEM
